gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
919144274	64a88778-8de7-4dd0-af39-2d094102cbde	UNIVALLE:ColeccMamif:UV:07186	Animalia	Chordata	Mammalia	Chiroptera	Phyllostomidae	Rhinophylla	Rhinophylla pumilio		SPECIES	Rhinophylla pumilio Peters, 1865	Rhinophylla pumilio	(Peters, 1865)	CO	Rio Hacha, 4km al N de Florencia	Caquetá	PRESENT		85be57ed-f187-49c9-b7ff-eaa622e06217	1.65	-75.65	7315.0		360.0	0.0			1990-08-17	17	8	1990	5218759	5218759	PRESERVED_SPECIMEN	Universidad del Valle (UV)	UV	ColeccMamif:UV:7186	MSA-1779			CC0_1_0		Michael Alberico			2024-01-24T19:05:08.110Z		INSTITUTION_MATCH_NONE
919144270	64a88778-8de7-4dd0-af39-2d094102cbde	UNIVALLE:ColeccMamif:UV:04296	Animalia	Chordata	Mammalia	Chiroptera	Phyllostomidae	Artibeus	Artibeus lituratus		SPECIES	Artibeus lituratus (Olfers, 1818)	Artibeus lituratus	(Olfers, 1818)	CO		Caquetá	PRESENT		85be57ed-f187-49c9-b7ff-eaa622e06217	-0.596105	-72.404597	2083.0						1989-01-02	2	1	1989	2433270	2433270	PRESERVED_SPECIMEN	Universidad del Valle (UV)	UV	ColeccMamif:UV:4296	MSA-1389			CC0_1_0		Michael Alberico			2024-01-24T19:05:07.482Z		COORDINATE_ROUNDED;INSTITUTION_MATCH_NONE
919144267	64a88778-8de7-4dd0-af39-2d094102cbde	UNIVALLE:ColeccMamif:UV:07221	Animalia	Chordata	Mammalia	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata		SPECIES	Carollia perspicillata (Linnaeus, 1758)	Carollia perspicillata	(Linnaeus, 1758)	CO	Rio Hacha, 4km al N de Florencia	Caquetá	PRESENT		85be57ed-f187-49c9-b7ff-eaa622e06217	1.65	-75.65	7315.0		360.0	0.0			1990-08-16	16	8	1990	2433176	2433176	PRESERVED_SPECIMEN	Universidad del Valle (UV)	UV	ColeccMamif:UV:7221	OO-34			CC0_1_0		Omaira Ospina			2024-01-24T19:05:08.059Z		INSTITUTION_MATCH_NONE
919144258	64a88778-8de7-4dd0-af39-2d094102cbde	UNIVALLE:ColeccMamif:UV:07565	Animalia	Chordata	Mammalia	Chiroptera	Phyllostomidae	Micronycteris	Micronycteris megalotis		SPECIES	Micronycteris megalotis (Gray, 1842)	Micronycteris megalotis	(Gray, 1842)	CO	Rio Hacha, 4km al N de Florencia	Caquetá	PRESENT		85be57ed-f187-49c9-b7ff-eaa622e06217	1.65	-75.65	7315.0		360.0	0.0			1990-08-16	16	8	1990	2433289	2433289	PRESERVED_SPECIMEN	Universidad del Valle (UV)	UV	ColeccMamif:UV:7565	MSA-1764			CC0_1_0		Michael Alberico			2024-01-24T19:05:07.706Z		INSTITUTION_MATCH_NONE
919144255	64a88778-8de7-4dd0-af39-2d094102cbde	UNIVALLE:ColeccMamif:UV:07206	Animalia	Chordata	Mammalia	Chiroptera	Phyllostomidae	Mesophylla	Mesophylla macconnelli		SPECIES	Mesophylla macconnelli Thomas, 1901	Mesophylla macconnelli	Thomas, 1901	CO	Rio Hacha, 4km al N de Florencia	Caquetá	PRESENT		85be57ed-f187-49c9-b7ff-eaa622e06217	1.65	-75.65	7315.0		360.0	0.0			1990-08-17	17	8	1990	5218756	5218756	PRESERVED_SPECIMEN	Universidad del Valle (UV)	UV	ColeccMamif:UV:7206	WR-75			CC0_1_0		Walter Rincón T			2024-01-24T19:05:08.069Z		INSTITUTION_MATCH_NONE
919144251	64a88778-8de7-4dd0-af39-2d094102cbde	UNIVALLE:ColeccMamif:UV:07185	Animalia	Chordata	Mammalia	Chiroptera	Phyllostomidae	Artibeus	Artibeus jamaicensis		SPECIES	Artibeus jamaicensis Leach, 1821	Artibeus jamaicensis	Leach, 1821	CO	Rio Hacha, 4km al N de Florencia	Caquetá	PRESENT		85be57ed-f187-49c9-b7ff-eaa622e06217	1.65	-75.65	7315.0		360.0	0.0			1990-08-17	17	8	1990	2433272	2433272	PRESERVED_SPECIMEN	Universidad del Valle (UV)	UV	ColeccMamif:UV:7185	MSA-1776			CC0_1_0		Michael Alberico			2024-01-24T19:05:08.107Z		INSTITUTION_MATCH_NONE
919144245	64a88778-8de7-4dd0-af39-2d094102cbde	UNIVALLE:ColeccMamif:UV:07220	Animalia	Chordata	Mammalia	Chiroptera	Phyllostomidae	Artibeus	Artibeus glaucus		SPECIES	Dermanura glauca (Thomas, 1893)	Dermanura glauca	Thomas, 1893	CO	Rio Hacha, 4km al N de Florencia	Caquetá	PRESENT		85be57ed-f187-49c9-b7ff-eaa622e06217	1.65	-75.65	7315.0		360.0	0.0			1990-08-16	16	8	1990	4832192	2433262	PRESERVED_SPECIMEN	Universidad del Valle (UV)	UV	ColeccMamif:UV:7220	OO-33			CC0_1_0		Omaira Ospina			2024-01-24T19:05:08.062Z		INSTITUTION_MATCH_NONE
919144242	64a88778-8de7-4dd0-af39-2d094102cbde	UNIVALLE:ColeccMamif:UV:04295	Animalia	Chordata	Mammalia	Chiroptera	Phyllostomidae	Artibeus			GENUS	Artibeus Leach, 1821	Artibeus		CO		Caquetá	PRESENT		85be57ed-f187-49c9-b7ff-eaa622e06217	-0.596105	-72.404597	2083.0						1989-01-02	2	1	1989	2433258		PRESERVED_SPECIMEN	Universidad del Valle (UV)	UV	ColeccMamif:UV:4295	MSA-1387			CC0_1_0		Michael Alberico			2024-01-24T19:05:07.462Z		COORDINATE_ROUNDED;INSTITUTION_MATCH_NONE
919144241	64a88778-8de7-4dd0-af39-2d094102cbde	UNIVALLE:ColeccMamif:UV:07214	Animalia	Chordata	Mammalia	Chiroptera	Phyllostomidae	Artibeus	Artibeus glaucus		SPECIES	Dermanura glauca (Thomas, 1893)	Dermanura glauca	Thomas, 1893	CO	Rio Hacha, 4km al N de Florencia	Caquetá	PRESENT		85be57ed-f187-49c9-b7ff-eaa622e06217	1.65	-75.65	7315.0		360.0	0.0			1990-08-16	16	8	1990	4832192	2433262	PRESERVED_SPECIMEN	Universidad del Valle (UV)	UV	ColeccMamif:UV:7214	MSA-1777			CC0_1_0		Michael Alberico			2024-01-24T19:05:08.064Z		INSTITUTION_MATCH_NONE
919144236	64a88778-8de7-4dd0-af39-2d094102cbde	UNIVALLE:ColeccMamif:UV:07570	Animalia	Chordata	Mammalia	Chiroptera	Phyllostomidae	Rhinophylla	Rhinophylla pumilio		SPECIES	Rhinophylla pumilio Peters, 1865	Rhinophylla pumilio	(Peters, 1865)	CO	Rio Hacha, 4km al N de Florencia	Caquetá	PRESENT		85be57ed-f187-49c9-b7ff-eaa622e06217	1.65	-75.65	7315.0		360.0	0.0			1990-08-16	16	8	1990	5218759	5218759	PRESERVED_SPECIMEN	Universidad del Valle (UV)	UV	ColeccMamif:UV:7570	MSA-1765			CC0_1_0		Michael Alberico			2024-01-24T19:05:07.704Z		INSTITUTION_MATCH_NONE
919144231	64a88778-8de7-4dd0-af39-2d094102cbde	UNIVALLE:ColeccMamif:UV:07205	Animalia	Chordata	Mammalia	Chiroptera	Phyllostomidae	Artibeus	Artibeus jamaicensis		SPECIES	Artibeus jamaicensis Leach, 1821	Artibeus jamaicensis	Leach, 1821	CO	Rio Hacha, 4km al N de Florencia	Caquetá	PRESENT		85be57ed-f187-49c9-b7ff-eaa622e06217	1.65	-75.65	7315.0		360.0	0.0			1990-08-16	16	8	1990	2433272	2433272	PRESERVED_SPECIMEN	Universidad del Valle (UV)	UV	ColeccMamif:UV:7205	WR-73			CC0_1_0		Walter Rincón T			2024-01-24T19:05:08.069Z		INSTITUTION_MATCH_NONE
919144221	64a88778-8de7-4dd0-af39-2d094102cbde	UNIVALLE:ColeccMamif:UV:07184	Animalia	Chordata	Mammalia	Chiroptera	Phyllostomidae	Glossophaga	Glossophaga soricina		SPECIES	Glossophaga soricina (Pallas, 1766)	Glossophaga soricina	(Pallas, 1766)	CO	Rio Hacha, 4km al N de Florencia	Caquetá	PRESENT		85be57ed-f187-49c9-b7ff-eaa622e06217	1.65	-75.65	7315.0		360.0	0.0			1990-08-16	16	8	1990	2433194	2433194	PRESERVED_SPECIMEN	Universidad del Valle (UV)	UV	ColeccMamif:UV:7184	MSA-1775			CC0_1_0		Michael Alberico			2024-01-24T19:05:08.107Z		INSTITUTION_MATCH_NONE
919144219	64a88778-8de7-4dd0-af39-2d094102cbde	UNIVALLE:ColeccMamif:UV:07197	Animalia	Chordata	Mammalia	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata		SPECIES	Carollia perspicillata (Linnaeus, 1758)	Carollia perspicillata	(Linnaeus, 1758)	CO	Rio Hacha, 4km al N de Florencia	Caquetá	PRESENT		85be57ed-f187-49c9-b7ff-eaa622e06217	1.65	-75.65	7315.0		360.0	0.0			1990-08-16	16	8	1990	2433176	2433176	PRESERVED_SPECIMEN	Universidad del Valle (UV)	UV	ColeccMamif:UV:7197	OO-27			CC0_1_0		Omaira Ospina			2024-01-24T19:05:08.101Z		INSTITUTION_MATCH_NONE
919144218	64a88778-8de7-4dd0-af39-2d094102cbde	UNIVALLE:ColeccMamif:UV:07219	Animalia	Chordata	Mammalia	Chiroptera	Phyllostomidae	Sturnira			GENUS	Sturnira Gray, 1842	Sturnira		CO	Rio Hacha, 4km al N de Florencia	Caquetá	PRESENT		85be57ed-f187-49c9-b7ff-eaa622e06217	1.65	-75.65	7315.0		360.0	0.0			1990-08-16	16	8	1990	2433322		PRESERVED_SPECIMEN	Universidad del Valle (UV)	UV	ColeccMamif:UV:7219	OO-32			CC0_1_0		Omaira Ospina			2024-01-24T19:05:08.069Z		INSTITUTION_MATCH_NONE
919144216	64a88778-8de7-4dd0-af39-2d094102cbde	UNIVALLE:ColeccMamif:UV:04294	Animalia	Chordata	Mammalia	Chiroptera	Phyllostomidae	Sturnira	Sturnira tildae		SPECIES	Sturnira tildae de la Torre, 1959	Sturnira tildae	de la Torre, 1959	CO		Caquetá	PRESENT		85be57ed-f187-49c9-b7ff-eaa622e06217	-0.596105	-72.404597	2083.0						1989-01-03	3	1	1989	2433334	2433334	PRESERVED_SPECIMEN	Universidad del Valle (UV)	UV	ColeccMamif:UV:4294	MSA-1403			CC0_1_0		Michael Alberico			2024-01-24T19:05:07.461Z		COORDINATE_ROUNDED;INSTITUTION_MATCH_NONE
919144208	64a88778-8de7-4dd0-af39-2d094102cbde	UNIVALLE:ColeccMamif:UV:07204	Animalia	Chordata	Mammalia	Chiroptera	Phyllostomidae	Glossophaga	Glossophaga soricina		SPECIES	Glossophaga soricina (Pallas, 1766)	Glossophaga soricina	(Pallas, 1766)	CO	Rio Hacha, 4km al N de Florencia	Caquetá	PRESENT		85be57ed-f187-49c9-b7ff-eaa622e06217	1.65	-75.65	7315.0		360.0	0.0			1990-08-16	16	8	1990	2433194	2433194	PRESERVED_SPECIMEN	Universidad del Valle (UV)	UV	ColeccMamif:UV:7204	WR-72			CC0_1_0		Walter Rincón T			2024-01-24T19:05:08.067Z		INSTITUTION_MATCH_NONE
919144206	64a88778-8de7-4dd0-af39-2d094102cbde	UNIVALLE:ColeccMamif:UV:07227	Animalia	Chordata	Mammalia	Chiroptera	Phyllostomidae	Artibeus	Artibeus glaucus		SPECIES	Dermanura glauca (Thomas, 1893)	Dermanura glauca	Thomas, 1893	CO	Rio Hacha, 4km al N de Florencia	Caquetá	PRESENT		85be57ed-f187-49c9-b7ff-eaa622e06217	1.65	-75.65	7315.0		360.0	0.0			1990-08-16	16	8	1990	4832192	2433262	PRESERVED_SPECIMEN	Universidad del Valle (UV)	UV	ColeccMamif:UV:7227	WR-77			CC0_1_0		Walter Rincón T			2024-01-24T19:05:08.061Z		INSTITUTION_MATCH_NONE
