,gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
654,602521190,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS135038042,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,Taï National Park,Bas-Sassandra (Région du),PRESENT,1.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.690694,-7.050476,,,,,,,1990-03-14,14.0,3.0,1990.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS135038042,,,,CC_BY_4_0,,obsr290238,,,2024-04-17T08:22:57.449Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
886,4626040178,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS1976763477,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,Tai National Park TCP camps,Bas-Sassandra (Région du),PRESENT,1.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.668818,-7.06922,,,,,,,2023-10-26,26.0,10.0,2023.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS1976763477,,,,CC_BY_4_0,,obsr424527,,,2024-04-17T09:01:51.129Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
2079,4377113651,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS1402439405,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,Guleoako 2 Village,18 Montagnes (Région des),PRESENT,1.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.834547,-7.409798,,,,,,,2022-04-24,24.0,4.0,2022.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS1402439405,,,,CC_BY_4_0,,obsr991026,,,2024-04-17T09:21:12.804Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
2345,4260777582,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS1751117498,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,tai,18 Montagnes (Région des),PRESENT,1.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.877514,-7.245007,,,,,,,2022-07-08,8.0,7.0,2022.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS1751117498,,,,CC_BY_4_0,,obsr2249086,,,2024-04-17T09:01:28.739Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
2388,4232408040,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS1443123476,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,Taï National Park,Bas-Sassandra (Région du),PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.690694,-7.050476,,,,,,,2022-05-06,6.0,5.0,2022.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS1443123476,,,,CC_BY_4_0,,obsr991026,,,2024-04-17T08:58:55.594Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
9243,3597938065,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS1194033061,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,Tai National Park,18 Montagnes (Région des),PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.85257,-7.406178,,,,,,,1994-01-02,2.0,1.0,1994.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS1194033061,,,,CC_BY_4_0,,obsr1510587,,,2024-04-17T08:33:41.045Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
9285,3549430059,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS1194042378,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,Tai National Park,18 Montagnes (Région des),PRESENT,1.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.85257,-7.406178,,,,,,,1994-01-04,4.0,1.0,1994.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS1194042378,,,,CC_BY_4_0,,obsr1510587,,,2024-04-17T10:00:38.159Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
9370,3533552702,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS1194030251,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,Tai National Park,18 Montagnes (Région des),PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.85257,-7.406178,,,,,,,1994-01-03,3.0,1.0,1994.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS1194030251,,,,CC_BY_4_0,,obsr1510587,,,2024-04-17T08:56:01.280Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
9434,3529233095,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS1194632177,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,Tai National Park,18 Montagnes (Région des),PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.85257,-7.406178,,,,,,,1994-01-06,6.0,1.0,1994.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS1194632177,,,,CC_BY_4_0,,obsr1510587,,,2024-04-17T08:34:29.181Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
9448,3526049940,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS1194030192,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,Tai National Park,18 Montagnes (Région des),PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.85257,-7.406178,,,,,,,1994-01-01,1.0,1.0,1994.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS1194030192,,,,CC_BY_4_0,,obsr1510587,,,2024-04-17T08:54:54.249Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
16736,2005097753,ceb1c860-7734-4614-b347-4c7ce38c4e19,urn:universityliberia.org:Birds:321,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,LR,Cavalla forest,,PRESENT,1.0,57c9be37-aeac-410c-8cea-2aea1a472f07,6.1815,-8.1222,,,,,,,2013-02-27,27.0,2.0,2013.0,5231787,5231787.0,HUMAN_OBSERVATION,University of Liberia,,,,,,CC_BY_4_0,,Ben Phalan,,,2024-01-25T00:37:45.313Z,,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
19703,197247042,4d749d70-e2e1-11dd-8102-b8a03c50a862,,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)","Turtur brehmeri (Hartlaub, 1865)","(Hartlaub, 1865)",CI,Cavally,,PRESENT,,335880a0-e2e1-11dd-8102-b8a03c50a862,6.174,-7.788,,,,,,,2002-03-24,24.0,3.0,2002.0,5231787,5231787.0,HUMAN_OBSERVATION,Conservation International,15,42028,,,,CC_BY_4_0,,Ron Demey,,,2024-04-28T16:08:39.505Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
25529,1208809109,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_CAN:OBS294225575,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,Tai National Park - Meno River Camp,Moyen-Cavally (Région du),PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.833333,-7.3,,,,,,,1990-02-05,5.0,2.0,1990.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD_CAN,OBS294225575,,,,CC_BY_4_0,,obsr47260,,,2024-04-17T09:52:34.400Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
25664,1208153479,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS268492105,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,"P. N. de Ta� (within 6 km of Research Station, ca 13 km ESE. of Ta� village)",Moyen-Cavally (Région du),PRESENT,2.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.8333,-7.35,,,,,,,1988-10-07,7.0,10.0,1988.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS268492105,,,,CC_BY_4_0,,obsr522151,,,2024-04-17T09:51:27.866Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
25708,1208148069,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS268492087,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,"P. N. de Ta� (within 6 km of Research Station, ca 13 km ESE. of Ta� village)",Moyen-Cavally (Région du),PRESENT,3.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.8333,-7.35,,,,,,,1988-10-06,6.0,10.0,1988.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS268492087,,,,CC_BY_4_0,,obsr522151,,,2024-04-17T08:45:42.389Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
25763,1203109320,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS295768828,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,IET station,Moyen-Cavally (Région du),PRESENT,1.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.85,-7.383333,,,,,,,1990-06-18,18.0,6.0,1990.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS295768828,,,,CC_BY_4_0,,obsr54836,,,2024-04-17T09:07:40.666Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
25870,1203107867,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS295768464,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,IET station,Moyen-Cavally (Région du),PRESENT,1.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.85,-7.383333,,,,,,,1990-06-25,25.0,6.0,1990.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS295768464,,,,CC_BY_4_0,,obsr54836,,,2024-04-17T09:51:10.107Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
25924,1203106470,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS295769167,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,Meno River,Moyen-Cavally (Région du),PRESENT,1.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.833334,-7.3,,,,,,,1990-06-27,27.0,6.0,1990.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS295769167,,,,CC_BY_4_0,,obsr54836,,,2024-04-17T09:52:14.604Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
25973,1203106420,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS295768054,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,IET station,Moyen-Cavally (Région du),PRESENT,2.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.85,-7.383333,,,,,,,1990-06-07,7.0,6.0,1990.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS295768054,,,,CC_BY_4_0,,obsr54836,,,2024-04-17T08:23:50.163Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
26030,1203105026,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS295768397,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,IET station,Moyen-Cavally (Région du),PRESENT,1.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.85,-7.383333,,,,,,,1990-06-23,23.0,6.0,1990.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS295768397,,,,CC_BY_4_0,,obsr54836,,,2024-04-17T09:10:17.750Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
26074,1203103652,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS295769109,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,Meno River,Moyen-Cavally (Région du),PRESENT,1.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.833334,-7.3,,,,,,,1990-06-30,30.0,6.0,1990.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS295769109,,,,CC_BY_4_0,,obsr54836,,,2024-04-17T09:05:36.020Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
26199,1203102186,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS295768362,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,IET station,Moyen-Cavally (Région du),PRESENT,1.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.85,-7.383333,,,,,,,1990-07-02,2.0,7.0,1990.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS295768362,,,,CC_BY_4_0,,obsr54836,,,2024-04-17T09:06:50.623Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
