species,count
Turtur brehmeri,427
Stizorhina finschi,427
Stiphrornis erythrothorax,425
Apalis sharpii,406
Dicrurus atripennis,400
Psittacus timneh,399
Stelgidillas gracilirostris,382
Ceratogymna atrata,378
Cyanomitra olivacea,370
Apaloderma narina,370
Lophoceros camurus,359
Halcyon badia,355
Hylopsar cupreocauda,352
Nicator chloris,348
Alethe diademata,341
Treron calvus,337
Tauraco macrorhynchus,333
Criniger barbatus,329
Pogoniulus subsulphureus,326
Tricholaema hirsuta,323
Hylia prasina,315
Oriolus brachyrynchus,313
Bleda canicapillus,308
Ceratogymna elata,303
Eurillas latirostris,294
Merops albicollis,290
Megabyas flammulatus,290
Coracina azurea,275
Gymnobucco calvus,274
Thescelocichla leucopleura,274
Dicrurus adsimilis,274
Cuculus solitarius,271
Dryoscopus sabini,262
Prionops caniceps,255
Buccanodon duchaillui,249
Macrosphenus concolor,247
Corythaeola cristata,246
Apus apus,238
Rhaphidura sabini,237
Phyllastrephus icterinus,237
Bycanistes fistulator,235
Cyanomitra cyanolaema,233
Peliperdix lathami,219
Halcyon malimbica,218
Ixonotus guttatus,217
Oryza sativa,214
Pogoniulus scolopaceus,211
Pogoniulus atroflavus,209
Criniger calurus,204
Cinnyris johannae,201
Eurystomus gularis,199
Ceuthmochares aereus,198
Lophoceros fasciatus,194
Strix woodfordii,193
Eurillas ansorgei,185
Psalidoprocne nitens,181
Baeopogon indicator,181
Bycanistes cylindricus,180
Stephanoaetus coronatus,177
Bostrychia olivacea,172
Cuculus clamosus,171
Gypohierax angolensis,170
Malacomys edwardsi,170
Terpsiphone rufiventer,166
Muscicapa ussheri,164
Chrysococcyx cupreus,157
Hylomyscus alleni,157
Oriolus nigripennis,153
Erythropygia leucosticta,149
Malimbus nitens,145
Campethera maculosa,143
Centropus leucogaster,143
Fraseria ocreata,139
Deleornis fraseri,136
Horizocerus albocristatus,133
Hedydipna collaris,131
Pardipicus caroli,131
Apalis nigriceps,125
Crocidura muricauda,125
Nigrita bicolor,123
Chloropicus pyrrhogaster,121
Illadopsis cleaveri,120
Malimbus rubricollis,119
Neafrapus cassini,114
Nigrita canicapillus,113
Anthreptes seimundi,113
Illadopsis rufipennis,112
Chalcomitra adelberti,107
Columba unicincta,102
Eurillas curvirostris,100
Agelastes meleagrides,100
Bleda syndactylus,99
Himantornis haematopus,93
Melichneutes robustus,90
Fraseria cinerascens,90
Cercococcyx mechowi,90
Glaucidium tephronotum,88
Crocidura buettikoferi,86
Neocossyphus poensis,83
Illadopsis rufescens,81
Turtur tympanistria,81
Guttera pucherani,81
Phoeniculus bollei,80
Podica senegalensis,80
Poicephalus gulielmi,76
Polyboroides typus,75
Anthreptes rectirostris,72
Criniger olivaceus,71
Onthophagus funestus,71
Pardipicus nivosus,70
Ploceus tricolor,70
Melaenornis annamarulae,70
Tmesorrhina iris,62
Onychognathus fulgidus,60
Calyptocichla serinus,59
Phoeniculus castaneiceps,59
Smithornis rufolateralis,59
Eremomela badiceps,58
Chlorophoneus multicolor,57
Hybomys trivirgatus,57
Bostrychia rara,56
Malimbus scutatus,56
Bostrychia hagedash,55
Telacanthura melanopygia,55
Solanum aethiopicum,55
Agapornis swindernianus,55
Praomys tullbergi,54
Mus musculoides,54
Platysteira concreta,53
Camaroptera chloronota,52
Rattus rattus,52
Chrysococcyx klaas,51
Muscicapa cassini,50
Solanum anguivi,49
Halcyon senegalensis,49
Heliocopris dianae,48
Hyliota violacea,47
Onthophagus pleurogonus,45
Mus setulosus,43
Erythrocercus mccallii,43
Onthophagus bartosi,43
Brycinus imberi,43
Onthophagus densipilis,43
Dephomys defua,42
Malimbus malimbicus,42
Lophuromys sikapusi,41
Lophorrhina quinquelineata,41
Augosoma centaurus,41
Eurystomus glaucurus,41
Tigriornis leucolopha,40
Hirundo rustica,40
Coptodon walteri,40
Brycinus macrolepidotus,40
Dryotriorchis spectabilis,39
Marcusenius ussheri,38
Petrocephalus pellegrini,38
Schilbe mandibularis,37
Merops gularis,37
Brycinus longipinnis,37
Chamaetylas poliocephala,37
Hemichromis fasciatus,37
Cinnyris chloropygius,36
Enteromius trispilos,36
Alcedo quadribrachys,35
Chrysichthys teugelsi,34
Cercococcyx olivinus,34
Praomys rostratus,34
Malaconotus lagdeni,33
Piliocolobus badius,33
Bleda eximius,33
Crematogaster striatula,33
Horizocerus hartlaubi,32
Indicator maculatus,32
Triphyophyllum peltatum,32
Batis poensis,31
Chidlowia sanguinea,30
Indicator willcocksi,30
Solanum anomalum,30
Piper guineense,30
Lobotos lobatus,30
Dioscorea praehensilis,29
Hybomys planifrons,29
Cercopithecus petaurista,28
Pholidornis rushiae,28
Pogoniulus bilineatus,28
Ispidina lecontei,28
Mastomys natalensis,27
Dioscorea bulbifera,27
Muscicapa olivascens,27
Colobus polykomos,27
Anochetus africanus,27
Diospyros chevalieri,27
Pheidole aurivillii,26
Columba iriditorques,26
Heterobranchus isopterus,26
Micralestes eburneensis,26
Crocidura nimbae,26
Corythornis leucogaster,25
Phrynobatrachus tokba,25
Mildbraedia paniculata,25
Cecropis abyssinica,25
Carebara silvestrii,25
Eurillas virens,24
Whitfieldia lateritia,24
Onthophagus depilis,24
Phylloscopus sibillatrix,24
Indicator minor,24
Chrysococcyx caprius,24
Dendrocygna viduata,23
Dioscorea hirtiflora,23
Elminia nigromitrata,22
Bothroponera soror,22
Heterotilapia cessiana,22
Hepsetus odoe,22
Polypterus palmas,22
Dicrurus modestus,21
Sheppardia cyornithopsis,21
Accipiter erythropus,21
Dicranolepis persei,21
Onthophagus ahenomicans,21
Malacomys cansdalei,21
Taterillus gracilis,21
Euponera brunoi,21
Chrysichthys nigrodigitatus,21
Pycnonotus barbatus,21
Centropus senegalensis,21
Procolobus verus,21
Glyphaea brevis,20
Tetramorium invictum,20
Corvus albus,20
Technomyrmex andrei,20
Dioscorea minutiflora,20
Leptogenys nuserra,20
Labeo alluaudi,20
Tabanus menoensis,20
Nigrita fusconotus,19
Cercopithecus diana,19
Myioparus griseigularis,19
Tarenna vignei,19
Ptychadena aequiplicata,19
Camaroptera brachyura,19
Rauvolfia vomitoria,19
Pyramica ludovici,19
Pheidole minima,19
Lanius humeralis,19
Tetramorium furtivum,19
Coptodon zillii,19
Spilopelia senegalensis,18
Gilbertiodendron splendidum,18
Cricetomys emini,18
Diospyros mannii,18
Phrynobatrachus alleni,18
Kolobopetalum ovatum,18
Aquila africana,18
Cercocebus atys,18
Enteromius punctitaeniatus,18
Ctenopoma kingsleyae,18
Sarotherodon tournieri,18
Milvus migrans,18
Eumachia sciadephora,17
Pernis apivorus,17
Dichapetalum toxicarium,17
Ciconia microscelis,17
Butorides striata,17
Tetramorium rhetidum,17
Plagiosiphon emarginatus,17
Streptopelia semitorquata,17
Passer griseus,17
Baissea multiflora,17
Corythornis cristatus,17
Heinsia crinita,17
Phrynobatrachus latifrons,17
Crocidura olivieri,16
Crocidura douceti,16
Trichoscypha bijuga,16
Piper umbellatum,16
Solanum macrocarpon,16
Lonchura fringilloides,16
Labeobarbus parawaldroni,16
Hypoponera dulcis,16
Bubo leucostictus,16
Strumigenys vazerka,16
Marantochloa filipes,16
Apus affinis,15
Hemichromis bimaculatus,15
Megaceryle maxima,15
Falco ardosiaceus,15
Ploceus cucullatus,15
Rhinolophus alcyone,15
Cephalophus dorsalis,15
Psychotria yapoensis,15
Onthophagus bordati,15
Eurillas gracilis,15
Perodicticus potto,15
Illadopsis fulvescens,15
Platysteira hormophora,15
Macheiramphus alcinus,15
Enteromius ablabes,15
Strychnos afzelii,15
Onthophagus rectorispauliani,15
Chrysichthys maurus,15
Hypoponera lassa,15
Anaglymma congonis,15
Pan troglodytes,15
Marantochloa leucantha,15
Atheris chlorechis,15
Protoxerus stangeri,15
Saccolaimus peli,15
Muscicapa epulata,14
